anon_polygon_id,year,start,end,days,z_min,z_mean,ndvi_mean,clim_mean,drop_vs_norm,severity,crop_type,precip_30d,precip_30d_norm,temp_anom,cause,precip_ratio,comment
AOI-0022,2013,2013-10-02,2013-10-16,15,-10.096547921104104,-5.647167830794948,-0.16093257588103724,0.2001094649512955,-0.3610420408323327,Критическая аномалия,подсолнечник,101.04348151434787,50.98565116870085,-2.630626198931398,"краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)",1.98,"Критическая аномалия: NDVI -0.16 против нормы 0.20 (z=-10.1) в течение 15 дн.; краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)"
AOI-0004,2010,2010-04-09,2010-07-04,87,-5.527314566417498,-3.0356696940644747,0.36248511296479985,0.6246470967586816,-0.2621619837938817,Критическая аномалия,озимая пшеница,69.14033598661867,68.64463273081996,0.4339608343136525,устойчивое угнетение без явного погодного сигнала,1.01,Критическая аномалия: NDVI 0.36 против нормы 0.62 (z=-5.5) в течение 87 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0054,2011,2011-04-01,2011-05-23,53,-5.300912081342927,-3.1431222677962607,0.47158246731669184,0.6731147818841199,-0.20153231456742804,Критическая аномалия,озимая пшеница,64.76447880059638,67.53976958608996,-2.0433073976474936,устойчивое угнетение без явного погодного сигнала,0.96,Критическая аномалия: NDVI 0.47 против нормы 0.67 (z=-5.3) в течение 53 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0017,2024,2024-05-06,2024-10-30,178,-4.778848150356705,-2.3107839913651116,0.25860442804475514,0.5171852897306696,-0.25858086168591443,Критическая аномалия,озимая пшеница,,,,устойчивое угнетение без явного погодного сигнала,,Критическая аномалия: NDVI 0.26 против нормы 0.52 (z=-4.8) в течение 178 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0030,2019,2019-06-21,2019-07-08,18,-4.459275471847827,-2.7193674497213873,0.5626177920511309,0.7466021485918939,-0.18398435654076295,Критическая аномалия,озимая пшеница,44.334846941346285,56.067250920457546,0.17637618110253525,"краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)",0.79,"Критическая аномалия: NDVI 0.56 против нормы 0.75 (z=-4.5) в течение 18 дн.; краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)"
AOI-0005,2015,2015-04-01,2015-04-20,20,-4.421815243296237,-2.396750946447674,0.1554073789515017,0.4115719056983388,-0.2561645267468371,Критическая аномалия,озимая пшеница,79.55692907102653,48.29434071934368,-1.8451025998200763,"краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)",1.65,"Критическая аномалия: NDVI 0.16 против нормы 0.41 (z=-4.4) в течение 20 дн.; краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)"
AOI-0055,2011,2011-04-02,2011-05-09,38,-4.406095990291728,-3.035282845665245,0.32849595802368575,0.47402106496191593,-0.14552510693823018,Критическая аномалия,озимая пшеница,,,,устойчивое угнетение без явного погодного сигнала,,Критическая аномалия: NDVI 0.33 против нормы 0.47 (z=-4.4) в течение 38 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0054,2017,2017-08-08,2017-09-10,34,-4.403774136862595,-2.6913673959628532,0.5316226664665927,0.7259381822595146,-0.19431551579292183,Критическая аномалия,озимая пшеница,31.479716412143915,30.558835846184152,1.3248745126686738,устойчивое угнетение без явного погодного сигнала,1.03,Критическая аномалия: NDVI 0.53 против нормы 0.73 (z=-4.4) в течение 34 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0054,2021,2021-05-08,2021-06-13,37,-4.3813269105487915,-2.3660240299739654,0.7081829845610113,0.8168181992642531,-0.10863521470324189,Критическая аномалия,озимая пшеница,124.87330519606314,79.02594294540211,-0.7727793063203093,устойчивое угнетение без явного погодного сигнала,1.58,Критическая аномалия: NDVI 0.71 против нормы 0.82 (z=-4.4) в течение 37 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0004,2011,2011-06-27,2011-09-10,76,-4.022923250149128,-2.0646540667932807,0.32122856099764097,0.49767013908294366,-0.1764415780853027,Критическая аномалия,озимая пшеница,68.86537682649274,37.500184350221296,-0.7078364266484247,устойчивое угнетение без явного погодного сигнала,1.84,Критическая аномалия: NDVI 0.32 против нормы 0.50 (z=-4.0) в течение 76 дн.; устойчивое угнетение без явного погодного сигнала
