feature,gain,split
sm_whit_lam200,128116.94050623104,1474
sm_savgol,29942.025054404512,877
sensor_mean,18756.352589892223,1255
sm_whittaker,15695.374214792624,858
analog_ndvi,6814.914052382112,2030
neighbor_mean,5902.8614754118025,690
sm_whit_lam30,5037.685355385765,634
lin_interp,4166.057382302359,737
date_anom_all_n,2551.0442988201976,3411
ndvi_roll20,2412.3800735417753,2111
clim_plus_anom,2350.0681189578027,435
date_anom_crop,2064.338990887627,3501
clim_plus_date_anom,1860.0125002516434,2348
optical_hr_interp,1769.1001021973789,1382
date_anom_all,1623.4368358869106,3692
landsat_ndvi_interp,1344.1916361637414,2025
sm_clim+anomaly,1173.725857205689,101
modis_ndvi_dtmin,1159.8973304023966,1794
prev2_ndvi,786.3508388409391,2333
next2_ndvi,782.4980753045529,2199
s2_evi_interp,658.3649155702442,2098
ndvi_season_std,559.1048326836899,2388
s2_ndvi_dtmin,527.6280837683007,1859
analog_best,430.08865628484637,1684
modis_ndvi_interp,426.72646092716604,1697
prev_ndvi,397.99725434556603,1492
sin2,393.7635310664773,1934
ndvi_season_mean,392.04304535500705,2034
whit_mid_diff,380.68562553822994,1751
date_anom_win_n,369.7269917409867,2887
date_anom_win,369.2271186513826,2417
modis_minus_lin,368.3766952911392,1969
ndvi_roll10,362.9384500263259,1655
precip_roll7,357.05096623208374,2651
doy,348.8082931805402,1243
clim_all_n,347.949416635558,1706
gdd_cum,347.25694562867284,2246
next_ndvi,314.76133486256003,1418
ndvi_roll45,313.99124292843044,1833
ndvi_poly_mean,313.6157322404906,2469
clim_all_mean,310.569726315327,1346
clim_poly_std,308.21078346297145,2173
days_from_season_start,306.12904126383364,1249
clim_crop_mean,305.21129039581865,1631
modis_evi_dtmin,298.73340766876936,442
neighbor_diff,284.2613452859223,1775
modis_evi_interp,283.7478305455297,1823
date_anom_diff,280.1730169225484,2431
landsat_ndvi_dtmin,275.4455204317346,1436
optical_hr_dtmin,274.5069409105927,943
analog_sim,274.1180930053815,2202
temp_roll7,270.72734653018415,1856
year,267.48528437595814,1631
cos1,264.0883699283004,1377
analog_minus_clim,258.1669451724738,1589
precip_roll21,252.4831814384088,1954
ndvi_season_n,245.87830767594278,1599
whit_scale_diff,239.55356924049556,1293
precip_roll60,235.57527380622923,1879
precip_cum,235.50963522586972,1476
sin3,227.18464610539377,1703
clim_crop_n,224.10475105792284,1797
s2_ndvi_interp,220.08290783595294,1076
season_shift,220.04290565568954,1717
optical_hr_minus_lin,218.25665781460702,1608
s2_ndwi_interp,217.8773289360106,1463
temp_roll21,214.89452044293284,1482
clim_crop_std,206.9503227788955,1518
temp_roll60,196.11252268962562,1504
prev_anom,195.8109628073871,1450
precip_season_mean,195.69933926686645,1514
analog_minus_lin,193.39122159965336,1582
temp_season_mean,187.10124657396227,1532
clim_all_std,177.35096402745694,1091
cos3,177.1867608577013,1173
dt_min,176.74052468128502,597
neighbor_slope,171.77867215685546,1298
clim_poly_mean,171.23478056676686,1436
date_anom_crop_n,170.22080267500132,1518
next_anom,169.33364821691066,1417
gap_len,166.73394732363522,896
sensor_spread,166.5217539165169,1398
extrap_fwd,163.30288272257894,1300
extrap_bwd,159.39593200013041,1230
precip_season_anom,155.374457962811,1426
sm_minus_lin,142.3407489163801,1252
slope_after,138.84888239763677,1260
sin1,130.54077558591962,508
cos2,126.78261238895357,638
temp_season_anom,123.52039690222591,1052
anom_mean,122.77005878277123,1075
sm_spread,122.33097942732275,1024
clim_poly_n,112.58112810458988,904
s2_evi_dtmin,108.5935182236135,491
slope_before,105.87301323004067,1157
dt_next,102.41766632627696,767
extrap_mean,97.16187368705869,834
sm_whit_lam5,88.15908008627594,693
dt_prev,83.1370979230851,679
curvature,75.5823618452996,780
dry_days_30,64.63124336395413,593
dt_ratio,59.16234805062413,717
s2_ndwi_dtmin,41.790041976608336,149
heat_days_30,18.86192368157208,200
crop_type,10.930205905809999,78
n_ref_years,0.0,0
analog_n,0.0,0
