anon_polygon_id,year,start,end,days,z_min,z_mean,ndvi_mean,clim_mean,drop_vs_norm,severity,crop_type,precip_30d,precip_30d_norm,temp_anom,cause,precip_ratio,comment
AOI-0022,2013,2013-10-01,2013-10-17,17,-10.781577461443595,-5.65547377101381,-0.17033056045376413,0.20213818108457793,-0.3724687415383421,Критическая аномалия,подсолнечник,100.08064372659703,50.50070018856685,-2.601500497624337,"краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)",1.98,"Критическая аномалия: NDVI -0.17 против нормы 0.20 (z=-10.8) в течение 17 дн.; краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)"
AOI-0004,2010,2010-04-01,2010-07-07,98,-5.348173475507145,-2.817967858239109,0.36199533337771994,0.6017214216084337,-0.23972608823071373,Критическая аномалия,озимая пшеница,64.85909113279922,66.10539351393888,0.36431786316883547,устойчивое угнетение без явного погодного сигнала,0.98,Критическая аномалия: NDVI 0.36 против нормы 0.60 (z=-5.3) в течение 98 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0051,2016,2016-09-29,2016-10-24,26,-5.197522272480128,-3.4108928831741183,-0.009365304157114049,0.3328023343689806,-0.34216763852609466,Критическая аномалия,озимая пшеница,,,,устойчивое угнетение без явного погодного сигнала,,Критическая аномалия: NDVI -0.01 против нормы 0.33 (z=-5.2) в течение 26 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0017,2024,2024-05-06,2024-10-30,178,-4.521958075751284,-2.2526260993977067,0.2637068480392184,0.5153863775076216,-0.2516795294684032,Критическая аномалия,озимая пшеница,,,,устойчивое угнетение без явного погодного сигнала,,Критическая аномалия: NDVI 0.26 против нормы 0.52 (z=-4.5) в течение 178 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0055,2011,2011-04-02,2011-05-09,38,-4.514650730214349,-3.1087523203753182,0.32849595802368575,0.47524797319977735,-0.1467520151760916,Критическая аномалия,озимая пшеница,,,,устойчивое угнетение без явного погодного сигнала,,Критическая аномалия: NDVI 0.33 против нормы 0.48 (z=-4.5) в течение 38 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0030,2019,2019-06-21,2019-07-14,24,-4.415259924311745,-2.3692194899042485,0.5837510363277844,0.7403908747882202,-0.15663983846043583,Критическая аномалия,озимая пшеница,51.107114427315345,54.37816794895608,-0.2547887483935504,устойчивое угнетение без явного погодного сигнала,0.94,Критическая аномалия: NDVI 0.58 против нормы 0.74 (z=-4.4) в течение 24 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0004,2011,2011-06-26,2011-09-12,79,-4.118811931673518,-2.0792122132701802,0.32136476951607085,0.4987319686758441,-0.17736719915977323,Критическая аномалия,озимая пшеница,69.6250983815133,37.617506733921644,-0.768545332750163,устойчивое угнетение без явного погодного сигнала,1.85,Критическая аномалия: NDVI 0.32 против нормы 0.50 (z=-4.1) в течение 79 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0004,2015,2015-04-01,2015-04-17,17,-3.5933928885113575,-2.0565088373302185,0.18817715520006303,0.3747244854277621,-0.18654733022769907,Критическая аномалия,озимая пшеница,74.57834396588142,47.67709579757789,-1.8739952405763816,"краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)",1.56,"Критическая аномалия: NDVI 0.19 против нормы 0.37 (z=-3.6) в течение 17 дн.; краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)"
AOI-0004,2011,2011-09-17,2011-10-26,40,-3.482968406383765,-2.0153068116649786,0.24113439311763152,0.35743950800155977,-0.11630511488392825,Критическая аномалия,озимая пшеница,66.5075871471219,43.377464350137394,-0.798748351071821,устойчивое угнетение без явного погодного сигнала,1.53,Критическая аномалия: NDVI 0.24 против нормы 0.36 (z=-3.5) в течение 40 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0030,2010,2010-04-12,2010-05-24,43,-3.4256376774570243,-2.018929840207948,0.473747361318917,0.6312439109784013,-0.1574965496594843,Критическая аномалия,озимая пшеница,77.12664397940347,72.72531123901166,-0.09316449424812345,устойчивое угнетение без явного погодного сигнала,1.06,Критическая аномалия: NDVI 0.47 против нормы 0.63 (z=-3.4) в течение 43 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0055,2010,2010-04-06,2010-04-30,25,-3.3923300241401178,-2.451138834874066,0.33181669496840593,0.46273681879107065,-0.1309201238226647,Критическая аномалия,озимая пшеница,,,,устойчивое угнетение без явного погодного сигнала,,Критическая аномалия: NDVI 0.33 против нормы 0.46 (z=-3.4) в течение 25 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0020,2023,2023-05-13,2023-06-14,33,-3.31649993917918,-2.0583930829302814,0.3533981033476843,0.6540104744055271,-0.3006123710578428,Критическая аномалия,подсолнечник,93.84845096593803,71.61601833516058,-1.6111761110687943,устойчивое угнетение без явного погодного сигнала,1.31,Критическая аномалия: NDVI 0.35 против нормы 0.65 (z=-3.3) в течение 33 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0055,2012,2012-04-04,2012-04-27,24,-3.260595983422398,-2.199513946861044,0.34208527818738743,0.46804905435107697,-0.12596377616368953,Критическая аномалия,озимая пшеница,,,,устойчивое угнетение без явного погодного сигнала,,Критическая аномалия: NDVI 0.34 против нормы 0.47 (z=-3.3) в течение 24 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0056,2011,2011-04-02,2011-05-27,56,-3.2554942917051877,-2.408631955372831,0.3139666893099873,0.6367539502909446,-0.32278726098095734,Критическая аномалия,озимая пшеница,,,,устойчивое угнетение без явного погодного сигнала,,Критическая аномалия: NDVI 0.31 против нормы 0.64 (z=-3.3) в течение 56 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0001,2011,2011-04-01,2011-06-06,67,-3.2240790263126184,-2.1562500536079523,0.2926879538735737,0.617894767021519,-0.3252068131479453,Критическая аномалия,озимая пшеница,62.94011903066229,67.74595759374255,-1.543073968836798,устойчивое угнетение без явного погодного сигнала,0.93,Критическая аномалия: NDVI 0.29 против нормы 0.62 (z=-3.2) в течение 67 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0064,2021,2021-04-01,2021-06-13,74,-3.1969750580779115,-1.731495829247616,0.3291390377300926,0.6181661130888447,-0.2890270753587521,Критическая аномалия,озимая пшеница,121.36484780683027,76.12273160955486,-0.559232816334636,устойчивое угнетение без явного погодного сигнала,1.59,Критическая аномалия: NDVI 0.33 против нормы 0.62 (z=-3.2) в течение 74 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0003,2022,2022-05-14,2022-06-22,40,-3.154494688677191,-2.1227476130913607,0.298481830859587,0.6555419453067776,-0.35706011444719055,Критическая аномалия,озимая пшеница,31.535729895513146,73.24130271234947,-0.5707525740591864,дефицит осадков,0.43,Критическая аномалия: NDVI 0.30 против нормы 0.66 (z=-3.2) в течение 40 дн.; дефицит осадков
AOI-0030,2021,2021-08-13,2021-08-26,14,-3.1465174258111963,-2.2757498511182455,0.38254397725905925,0.6364976295732422,-0.25395365231418293,Критическая аномалия,озимая пшеница,47.14916950140514,27.0195422618397,-0.6973041565074597,"краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)",1.75,"Критическая аномалия: NDVI 0.38 против нормы 0.64 (z=-3.1) в течение 14 дн.; краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)"
AOI-0011,2010,2010-04-09,2010-06-08,61,-3.120017846984761,-2.060925014698891,0.31589238634147426,0.6562167830448093,-0.3403243967033351,Критическая аномалия,озимая пшеница,86.74997689557489,66.26139375671394,-0.1345998068722372,устойчивое угнетение без явного погодного сигнала,1.31,Критическая аномалия: NDVI 0.32 против нормы 0.66 (z=-3.1) в течение 61 дн.; устойчивое угнетение без явного погодного сигнала
