feature,gain,split
sm_whit_lam200,139416.73967715818,1466
sm_savgol,38357.0054130964,872
sensor_mean,21517.29641941935,1289
sm_whittaker,13455.626933680847,975
neighbor_mean,6716.019967127591,730
ndvi_roll20,3615.69615286123,2124
analog_ndvi,3384.6992789423093,2507
date_anom_all_n,2405.6071865791455,3360
date_anom_crop,2370.248725007288,3718
harm_fit,2346.8674697261304,1509
sm_clim+anomaly,1949.2890884540975,518
date_anom_all,1808.4169833604246,3609
landsat_ndvi_interp,1640.9717963086441,2389
modis_ndvi_dtmin,1516.4451665291563,2061
lin_interp,1344.3815048886463,687
harm_fit2,838.2291110893711,1797
prev2_ndvi,792.0489086061716,2327
s2_evi_interp,789.3271172149107,2199
next2_ndvi,734.9486098047346,2202
s2_ndvi_dtmin,645.9035495892167,2361
modis_ndvi_interp,612.9816402755678,1962
ndvi_season_std,592.6523450957611,2567
s2_ndvi_interp,588.601794751361,1633
precip_roll7,528.8848182754591,3599
sin2,528.5040544960648,2234
ndvi_roll10,528.3739261385053,1787
prev_ndvi,490.7614355860278,1750
clim_crop_mean,471.2138640107587,1929
analog_best,459.5081344116479,2070
date_anom_win,428.6702589187771,2369
modis_evi_dtmin,426.4505800437182,514
doy,406.4000791730359,1652
ndvi_poly_mean,401.7424061167985,2869
clim_all_n,384.900155890733,1847
landsat_ndvi_dtmin,378.95061895716935,1755
cos1,376.9781565889716,1980
clim_all_mean,374.3195465262979,1495
ndvi_season_mean,370.94860029779375,2216
next_ndvi,369.8534869477153,1665
precip_roll21,369.51403717976063,2576
modis_minus_lin,358.1852779965848,1865
days_from_season_start,358.0210223440081,1775
year,345.18778056744486,2074
date_anom_win_n,330.21700248029083,2631
sin3,324.50449427217245,2172
ndvi_roll45,319.75009972508997,1963
precip_cum,305.2914489824325,1799
sensor_spread,302.0509005570784,1577
temp_roll7,297.8770124539733,2232
neighbor_diff,289.13543956913054,1649
precip_roll60,287.73308280762285,2342
date_anom_diff,270.93849309999496,2312
temp_roll21,252.15075587574393,1927
clim_crop_std,249.7113037193194,1580
season_shift,246.71270912513137,1900
analog_sim,245.80828037671745,2349
modis_evi_interp,245.60728120803833,1831
precip_season_mean,243.27044781390578,1839
whit_scale_diff,242.05061169154942,1355
clim_crop_n,239.3535157730803,1956
cos3,230.7868717694655,1608
temp_roll60,230.44638989772648,1683
s2_ndwi_interp,226.0791703267023,1597
precip_season_anom,191.98820544220507,1536
temp_season_mean,188.26467215642333,1460
ndvi_season_n,185.1913612447679,1383
sin1,179.09176511317492,706
date_anom_crop_n,172.32156202569604,1449
dt_min,172.12239207699895,515
clim_all_std,169.9342709556222,1004
analog_minus_lin,168.7828915733844,1483
harm_minus_lin,165.26355941873044,1254
extrap_fwd,156.904159440659,1323
gap_len,154.30274584703147,770
neighbor_slope,152.911850345321,1104
cos2,152.02467133384198,729
s2_evi_dtmin,146.49622978456318,509
extrap_bwd,128.07782743871212,1109
sm_minus_lin,122.58731588535011,1080
slope_after,119.53259946685284,1038
temp_season_anom,114.46932878158987,1040
slope_before,107.31100376602262,1119
clim_plus_date_anom,106.81893166154623,732
sm_whit_lam5,95.86280382797122,718
gdd_cum,95.7332329377532,644
sm_spread,93.55805461388081,834
dt_next,89.12636695429683,645
dt_prev,83.41457108035684,678
extrap_mean,76.29646803531796,713
dry_days_30,69.51085888780653,620
curvature,66.87850038893521,690
clim_poly_mean,63.80707585904747,535
dt_ratio,62.18995036371052,482
clim_poly_std,55.90854919049889,625
harm_minus_clim,53.422930501401424,523
prev_anom,44.01707189437002,440
s2_ndwi_dtmin,40.32271918654442,142
analog_minus_clim,36.832480542361736,425
heat_days_30,36.24276930373162,332
next_anom,32.402227125130594,371
clim_poly_n,32.31637731939554,306
clim_plus_anom,28.510548101738095,282
anom_mean,26.91884883493185,288
crop_type,23.48860800638795,179
n_ref_years,0.0,0
analog_n,0.0,0
