feature,gain,split
sm_whit_lam200,79703.97289296053,1647
sm_savgol,14524.165012089536,970
sensor_mean,8246.386179193854,1393
neighbor_mean,4331.57315391954,899
lin_interp,3638.4417328834534,861
analog_ndvi,3507.4882284132764,2461
sm_clim+anomaly,3284.9997131247073,644
sm_whittaker,2727.758242913522,1094
ndvi_roll20,1523.9688049759716,2328
date_anom_crop,1308.3034931225702,4086
date_anom_all_n,1304.7491730516776,3338
date_anom_all,1074.83836909011,4238
landsat_ndvi_interp,909.886293743737,2359
modis_ndvi_dtmin,614.9166657524183,1937
prev2_ndvi,489.4166402015835,2635
next2_ndvi,467.32909208070487,2433
s2_evi_interp,342.659050215967,2070
s2_ndvi_dtmin,334.25710564572364,2128
s2_ndvi_interp,327.20605959929526,1500
ndvi_season_std,307.33690009173006,2438
analog_best,281.25677987840027,2070
ndvi_roll10,275.9546073684469,1875
modis_ndvi_interp,251.71916923858225,1793
clim_crop_mean,248.5098145082593,1930
modis_minus_lin,246.22498720046133,2273
date_anom_win,242.84722404833883,2660
prev_ndvi,233.2353773722425,1629
ndvi_season_mean,217.0897305328399,2163
sin2,216.73510313779116,1763
whit_scale_diff,212.04016814474016,2029
precip_roll7,211.77303192391992,2870
doy,200.22338872868568,1213
date_anom_win_n,200.18208353873342,2874
clim_all_mean,197.0385411363095,1455
days_from_season_start,196.44863707572222,1189
ndvi_poly_mean,190.8644081959501,2741
landsat_ndvi_dtmin,189.74890939332545,1728
next_ndvi,188.335373127833,1582
modis_evi_dtmin,185.4589668828994,463
clim_all_n,183.13874985836446,1880
modis_evi_interp,174.64195552002639,1959
cos1,166.92635470535606,1394
neighbor_diff,165.81993120536208,1970
date_anom_diff,161.94492336455733,2412
analog_minus_lin,159.70273938495666,2006
precip_roll21,159.5374495247379,2108
ndvi_roll45,159.29488048702478,1916
sensor_spread,156.58988606743515,1848
clim_crop_std,153.80075119249523,1796
analog_sim,153.64871832262725,2419
temp_roll7,148.35245792660862,1891
ndvi_season_n,147.299850913696,1825
year,144.69679636508226,1564
season_shift,133.10890312679112,1893
sin3,133.0487979222089,1811
clim_crop_n,131.0461087161675,1947
precip_roll60,125.44431893900037,1909
temp_roll60,118.67890595924109,1626
s2_ndwi_interp,118.24255817010999,1470
temp_roll21,116.75949666649103,1552
neighbor_slope,115.4789375597611,1518
extrap_fwd,115.40475643891841,1582
precip_cum,114.149478090927,1409
extrap_bwd,112.34163345955312,1496
precip_season_mean,109.84685086505488,1590
clim_all_std,106.85506709478796,1206
precip_season_anom,105.61413693521172,1583
sm_minus_lin,105.60496896319091,1437
temp_season_mean,104.19957133382559,1611
date_anom_crop_n,99.72921721637249,1613
cos3,99.52919053751975,1172
dt_min,91.55961913336068,623
slope_after,90.36251499410719,1503
slope_before,84.25859046448022,1540
sm_spread,83.6336139747873,1304
gap_len,83.23208091966808,906
s2_evi_dtmin,80.05349756963551,517
temp_season_anom,79.23429606761783,1216
clim_plus_date_anom,78.6238166084513,970
sm_whit_lam5,76.83006332721561,884
cos2,75.93604914285243,670
dt_next,71.55629478860646,827
extrap_mean,63.32884263433516,975
sin1,59.46686158236116,439
clim_poly_std,57.453313135541975,931
dt_prev,57.32135821413249,813
curvature,55.975446567405015,1015
dt_ratio,52.16823198553175,860
gdd_cum,48.25084259733558,665
analog_minus_clim,41.06747662834823,728
clim_poly_mean,40.31926711183041,661
dry_days_30,40.004985990934074,611
prev_anom,38.836189850233495,660
clim_plus_anom,34.607175641693175,495
anom_mean,33.71732972096652,559
next_anom,30.37473497260362,565
clim_poly_n,21.32079829927534,455
s2_ndwi_dtmin,17.577033776789904,97
heat_days_30,13.391680169850588,227
crop_type,11.513370411470532,112
n_ref_years,0.0,0
analog_n,0.0,0
