anon_polygon_id,year,start,end,days,z_min,z_mean,ndvi_mean,clim_mean,drop_vs_norm,severity,crop_type,precip_30d,precip_30d_norm,temp_anom,cause,precip_ratio,comment
AOI-0022,2013,2013-10-01,2013-10-16,16,-10.331163220800928,-5.507476148820766,-0.15733908607741554,0.20187151684210275,-0.3592106029195183,Критическая аномалия,подсолнечник,101.18655877453199,50.94109417458223,-2.611482561270856,"краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)",1.99,"Критическая аномалия: NDVI -0.16 против нормы 0.20 (z=-10.3) в течение 16 дн.; краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)"
AOI-0004,2010,2010-04-01,2010-07-03,94,-5.543379408879301,-2.9454988947810197,0.35023497463437014,0.6029630119509876,-0.2527280373166174,Критическая аномалия,озимая пшеница,66.35326161855629,66.613557433854,0.31369543881695794,устойчивое угнетение без явного погодного сигнала,1.0,Критическая аномалия: NDVI 0.35 против нормы 0.60 (z=-5.5) в течение 94 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0054,2011,2011-04-01,2011-05-21,51,-4.85372037010946,-3.000509192207497,0.470559266201234,0.6669965064758869,-0.19643724027465292,Критическая аномалия,озимая пшеница,64.7460032855731,67.11602386240351,-2.124863292386205,устойчивое угнетение без явного погодного сигнала,0.96,Критическая аномалия: NDVI 0.47 против нормы 0.67 (z=-4.9) в течение 51 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0017,2024,2024-05-06,2024-10-30,178,-4.77884815035671,-2.3107839913651125,0.25860442804475514,0.5171852897306696,-0.25858086168591443,Критическая аномалия,озимая пшеница,,,,устойчивое угнетение без явного погодного сигнала,,Критическая аномалия: NDVI 0.26 против нормы 0.52 (z=-4.8) в течение 178 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0005,2015,2015-04-01,2015-04-18,18,-4.467127589872604,-2.5051161369233346,0.14105328528137312,0.4030543674100658,-0.26200108212869266,Критическая аномалия,озимая пшеница,75.82510029579521,47.24924180097631,-1.8673687892423065,"краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)",1.6,"Критическая аномалия: NDVI 0.14 против нормы 0.40 (z=-4.5) в течение 18 дн.; краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)"
AOI-0055,2011,2011-04-02,2011-05-09,38,-4.406095990291748,-3.0352828456652574,0.32849595802368575,0.47402106496191593,-0.14552510693823018,Критическая аномалия,озимая пшеница,,,,устойчивое угнетение без явного погодного сигнала,,Критическая аномалия: NDVI 0.33 против нормы 0.47 (z=-4.4) в течение 38 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0054,2017,2017-08-09,2017-09-10,33,-4.294964531804865,-2.6589645635259047,0.5337310718798078,0.7249313502630648,-0.19120027838325693,Критическая аномалия,озимая пшеница,31.93907236026445,30.53675446554392,1.3264917284421327,устойчивое угнетение без явного погодного сигнала,1.05,Критическая аномалия: NDVI 0.53 против нормы 0.72 (z=-4.3) в течение 33 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0030,2019,2019-06-21,2019-07-07,17,-4.223563069086433,-2.698818183227175,0.5644785118785717,0.7478472213476426,-0.1833687094690709,Критическая аномалия,озимая пшеница,42.859675881462564,56.138439697557445,0.2449913539153749,"краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)",0.76,"Критическая аномалия: NDVI 0.56 против нормы 0.75 (z=-4.2) в течение 17 дн.; краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)"
AOI-0054,2021,2021-05-09,2021-06-03,26,-4.035052276005459,-2.328470035417835,0.6949040745177074,0.8090654197450944,-0.11416134522738697,Критическая аномалия,озимая пшеница,128.53410835262906,80.29714414753349,-0.8321826266731484,устойчивое угнетение без явного погодного сигнала,1.6,Критическая аномалия: NDVI 0.69 против нормы 0.81 (z=-4.0) в течение 26 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0004,2011,2011-06-27,2011-09-10,76,-3.9566950984613607,-1.9663053827400667,0.32991742021370296,0.49823660560190947,-0.1683191853882065,Критическая аномалия,озимая пшеница,68.86537682649274,37.500184350221296,-0.7078364266484247,устойчивое угнетение без явного погодного сигнала,1.84,Критическая аномалия: NDVI 0.33 против нормы 0.50 (z=-4.0) в течение 76 дн.; устойчивое угнетение без явного погодного сигнала
