фолдов в кэше: 2
r25_lr02_2f                  RMSE=0.06449 clean=0.06449 MAE=0.04152 ±0.05=72.9% 1225.0s

=== лидерборд ===
                 name     RMSE  RMSE_clean      MAE  within_0.05   secs
          r25_lr02_2f 0.064492    0.064492 0.041521    72.861279 1225.0
             r25_lr02 0.074900    0.065822 0.043767    71.226807 1334.6
             r15_lr02 0.075411    0.066407 0.044194    70.769870  245.6
      r15_noharm_fair 0.075437    0.066432 0.044106    70.576018 1430.1
        r15_lr02_fair 0.075437    0.066490 0.044212    70.963722  254.7
         r15_baseline 0.075685    0.066753 0.044514    70.257546  125.5
         v3_lr02_fair 0.075953    0.067164 0.044606    70.285240  221.8
  v4_noharm_fair_md15 0.076006    0.067274 0.044728    69.800609  211.1
       v4_noharm_fair 0.076041    0.067215 0.044564    70.368319  203.7
         v3_lr02_md15 0.076049    0.067310 0.044738    70.326779  210.4
              v3_lr02 0.076127    0.067382 0.044729    70.229853  204.3
v4_noharm_analog_fair 0.076188    0.067492 0.044924    70.216007  923.6
         v3_lr02_drop 0.076259    0.067526 0.044902    70.423705  211.1
             v3_lr015 0.076272    0.067493 0.044837    69.648297  268.4
  v4_noharm_fair_l2_5 0.076286    0.067493 0.044853    70.022155  208.7
              v2_lr02 0.076310    0.067589 0.045013    70.243700  180.3
       v3_abl_no_harm 0.076317    0.067604 0.045168    69.855996   91.7
  v4_noharm_fair_ff09 0.076376    0.067591 0.044898    70.202160  231.2
              v2_fair 0.076401    0.067774 0.045263    69.565217   94.8
            v4_noharm 0.076410    0.067744 0.045058    70.091387  188.3
         v2_fair_drop 0.076420    0.067773 0.045191    70.146774   94.8
     v4_noharm_analog 0.076425    0.067799 0.045197    69.662143  176.0
       v2_drop_broken 0.076427    0.067929 0.045235    69.634450   85.7
         v2_mindata15 0.076450    0.067905 0.045311    69.966768   86.1
  v3_abl_no_smoothers 0.076524    0.067766 0.045171    70.063694   88.2
