name,RMSE,RMSE_clean,MAE,within_0.05
r40_lr02_3seed,0.06368,0.06368,0.04094,73.88787
r40_lr02_2f,0.06377,0.06377,0.04092,73.8089
r25_lr02_2f,0.06449,0.06449,0.04152,72.86128
r40_lr02,0.07452,0.06512,0.04321,71.6422
r25_lr02,0.0749,0.06582,0.04377,71.22681
r15_lr02,0.07541,0.06641,0.04419,70.76987
r15_noharm_fair,0.07544,0.06643,0.04411,70.57602
r15_lr02_fair,0.07544,0.06649,0.04421,70.96372
r15_baseline,0.07568,0.06675,0.04451,70.25755
v3_lr02_fair,0.07595,0.06716,0.04461,70.28524
v4_noharm_fair_md15,0.07601,0.06727,0.04473,69.80061
v4_noharm_fair,0.07604,0.06722,0.04456,70.36832
v3_lr02_md15,0.07605,0.06731,0.04474,70.32678
v3_lr02,0.07613,0.06738,0.04473,70.22985
v4_noharm_analog_fair,0.07619,0.06749,0.04492,70.21601
v3_lr02_drop,0.07626,0.06753,0.0449,70.42371
v3_lr015,0.07627,0.06749,0.04484,69.6483
v4_noharm_fair_l2_5,0.07629,0.06749,0.04485,70.02215
v2_lr02,0.07631,0.06759,0.04501,70.2437
v3_abl_no_harm,0.07632,0.0676,0.04517,69.856
v4_noharm_fair_ff09,0.07638,0.06759,0.0449,70.20216
v2_fair,0.0764,0.06777,0.04526,69.56522
v4_noharm,0.07641,0.06774,0.04506,70.09139
v2_fair_drop,0.07642,0.06777,0.04519,70.14677
v4_noharm_analog,0.07643,0.0678,0.0452,69.66214
v2_drop_broken,0.07643,0.06793,0.04523,69.63445
v2_mindata15,0.07645,0.0679,0.04531,69.96677
v3_abl_no_smoothers,0.07652,0.06777,0.04517,70.06369
v4_lean_fair,0.07655,0.0679,0.04489,70.17447
v3_abl_no_analog,0.07656,0.06797,0.04536,69.77292
v3_baseline,0.07657,0.06786,0.04529,69.81446
v2_baseline,0.07667,0.06798,0.04544,69.56522
v2_leaves127,0.07676,0.06815,0.0453,69.78676
v2_ff05,0.07686,0.06819,0.04552,69.67599
v2_w_gap,0.07693,0.06833,0.04588,69.39906
v3_abl_no_weather,0.07693,0.06821,0.04534,70.14677
v2_split_gap16,0.07761,0.06905,0.04597,69.05289
v3_abl_no_date,0.07814,0.06969,0.04692,68.49903
fair,0.07836,0.07,0.04679,68.87289
baseline,0.07841,0.07003,0.04706,67.97286
lr02_2500,0.07852,0.07013,0.04709,68.37441
huber,0.07864,0.07032,0.04715,68.08363
v3_abl_no_sensors,0.07866,0.07021,0.04806,66.90667
drop_broken,0.07867,0.07028,0.04719,68.24979
resid_whit_drop,0.07894,0.07079,0.04776,67.72362
resid_savgol,0.07905,0.07067,0.04795,67.46054
mae,0.07921,0.07093,0.04606,70.29909
resid_whittaker,0.07932,0.0711,0.0478,67.50208
resid_lin,0.07952,0.07124,0.04806,67.52977
lr08_700,0.07961,0.07123,0.04787,67.86209
