anon_polygon_id,date,crop_type,y,pred,abs_err,gap_len,doy,year,scenario
AOI-0022,2013-10-08,подсолнечник,-2.1303786081123266,0.30937467871557156,2.439753286827898,16.0,281,2013,new_polygon_fold2
AOI-0059,2015-04-05,озимая пшеница,1.8428536897650167,0.1046996108795903,1.7381540788854264,,95,2015,new_polygon_fold3
AOI-0001,2016-09-30,озимая пшеница,1.0375758380275422,0.3148319200310399,0.7227439179965023,41.0,274,2016,new_polygon_fold2
AOI-0030,2019-06-30,озимая пшеница,0.0239513321513114,0.6439209416837889,0.6199696095324775,24.0,181,2019,new_polygon_fold3
AOI-0002,2021-04-21,озимая пшеница,-0.0614819652068067,0.5466522080860998,0.6081341732929065,16.0,111,2021,new_polygon_fold1
AOI-0074,2019-07-30,озимая пшеница,0.0280942805226691,0.5925305350803857,0.5644362545577166,10.0,211,2019,new_polygon_fold1
AOI-0004,2021-08-12,озимая пшеница,-0.4033418963704858,0.15118027069818088,0.5545221670686666,16.0,224,2021,new_polygon_fold1
AOI-0061,2021-06-14,озимая пшеница,0.0948114590712153,0.6448695349158339,0.5500580758446185,15.0,165,2021,new_polygon_fold0
AOI-0059,2012-05-22,озимая пшеница,0.3521529971083849,0.8884431929206873,0.5362901958123024,18.0,143,2012,new_polygon_fold3
AOI-0001,2022-07-29,озимая пшеница,0.8057916843457662,0.3163702956054128,0.4894213887403534,9.0,210,2022,new_polygon_fold2
AOI-0063,2017-04-01,озимая пшеница,0.0210659667152693,0.4716118452501744,0.45054587853490513,,91,2017,new_polygon_fold0
AOI-0074,2022-07-02,озимая пшеница,0.3108462553661172,0.7569310665736637,0.4460848112075465,8.0,183,2022,new_polygon_fold1
AOI-0054,2025-07-23,озимая пшеница,0.276394709029519,0.7210697481025535,0.4446750390730345,20.0,204,2025,new_polygon_fold2
AOI-0026,2019-05-11,озимая пшеница,0.3980572109875138,0.8400584387068498,0.44200122771933603,16.0,131,2019,new_polygon_fold3
AOI-0061,2020-04-19,озимая пшеница,0.2496256335494184,0.657503429118946,0.4078777955695276,28.0,110,2020,new_polygon_fold0
