anon_polygon_id,cell_id,cell_lon,cell_lat,cropland_frac,ndvi_std,peak_ndvi,crop_type,tile
ROS1-01-0015,38.9_47.3,38.9,47.3,0.9853821873400445,0.014825631357029502,0.30728378117744565,неизвестно,1
ROS1-02-0005,38.9_47.5,38.9,47.5,0.9744799822972697,0.0299294077797438,0.32344341974733704,неизвестно,2
ROS1-07-0045,39.4_47.3,39.4,47.3,1,0.004121208321644851,0.2799217646384164,неизвестно,7
ROS1-08-0010,39.6_47.7,39.6,47.7,0.9600411440762263,0.03755320511477601,0.26552042467928877,зерновые,8
ROS1-12-0000,40.3_46.7,40.3,46.7,1,0.013284340025076209,0.27421228771382494,озимая пшеница,12
ROS1-01-0003,39.0_46.8,39,46.8,1,0.014642580761469152,0.40411118424842035,неизвестно,1
ROS1-07-0012,39.1_47.3,39.1,47.3,1,0.05766629615433273,0.3505187716297959,озимая пшеница,7
ROS1-15-0009,40.0_48.7,40,48.7,0.9802205387065388,0.04802584744678995,0.36740696029636305,неизвестно,15
ROS1-18-0029,40.9_46.5,40.9,46.5,1,0.008410808118864853,0.40734980417993194,озимая пшеница,18
ROS1-19-0041,41.0_47.3,41,47.3,0.9586613752771358,0.034478558597565434,0.3998056491670308,озимая пшеница,19
ROS1-20-0023,40.7_48.0,40.7,48,1,0.04654516536892122,0.4012936600217742,зерновые,20
ROS1-21-0016,40.8_48.9,40.8,48.9,1,0.014857300912443982,0.3622739643803468,озимая пшеница,21
ROS1-22-0016,40.5_49.3,40.5,49.3,1,0.03003434852961684,0.4029102231504838,неизвестно,22
ROS1-24-0003,41.7_46.5,41.7,46.5,0.9829792580013519,0.05020942640022954,0.3662317104909331,неизвестно,24
ROS1-25-0017,41.2_47.1,41.2,47.1,1,0.07897563040828304,0.4276812280492867,неизвестно,25
ROS1-26-0027,41.6_47.7,41.6,47.7,1,0.04796213027535966,0.4059346425476943,неизвестно,26
ROS1-27-0006,41.3_48.6,41.3,48.6,0.9807998399986667,0.050961160904268,0.38680391522767243,зерновые,27
ROS1-28-0006,41.9_49.7,41.9,49.7,1,0.04745583192972138,0.3989849743455924,озимая пшеница,28
ROS1-29-0006,41.3_50.2,41.3,50.2,0.9948454647753259,0.027324019812830374,0.38796835856777256,озимая пшеница,29
ROS1-30-0009,42.0_46.4,42,46.4,1,0.07145748028433506,0.3740161093757424,озимая пшеница,30
ROS1-31-0009,42.5_47.3,42.5,47.3,1,0.008238860069888995,0.3972889536369945,неизвестно,31
ROS1-32-0018,42.2_47.9,42.2,47.9,1,0.05329353416507086,0.41327198874793414,неизвестно,32
ROS1-33-0014,42.1_48.7,42.1,48.7,1,0.05492015236524895,0.4313233719845859,неизвестно,33
ROS1-37-0049,43.1_47.1,43.1,47.1,1,0.06151224562288272,0.41325481359202804,зерновые,37
ROS1-42-0006,43.7_46.5,43.7,46.5,1,0.02040864937817131,0.3731584783920983,озимая пшеница,42
ROS1-49-0004,44.3_47.1,44.3,47.1,0.9998412963939968,0.049792950832313304,0.3749488169441086,неизвестно,49
ROS1-07-0011,39.1_46.9,39.1,46.9,1,0.009001635779417547,0.46937548753545766,озимая пшеница,7
ROS1-12-0004,40.2_46.7,40.2,46.7,1,0.06655644912540808,0.4716092815865518,неизвестно,12
ROS1-15-0016,40.3_48.7,40.3,48.7,1,0.02878509690752724,0.47857791997233323,неизвестно,15
ROS1-18-0007,40.9_46.3,40.9,46.3,1,0.017975403064687923,0.5308039843907961,неизвестно,18
ROS1-19-0026,40.8_47.4,40.8,47.4,1,0.051295670688399894,0.5379205866606485,неизвестно,19
ROS1-20-0010,41.1_47.7,41.1,47.7,1,0.04540007258750038,0.46425590683991746,неизвестно,20
ROS1-21-0013,40.7_48.4,40.7,48.4,1,0.056616157004027265,0.48848952553311453,неизвестно,21
ROS1-22-0011,40.9_49.5,40.9,49.5,1,0.01931228711132573,0.46539752733412537,неизвестно,22
ROS1-24-0026,41.9_46.4,41.9,46.4,0.9965235883859209,0.06988906953747251,0.4619256573151723,озимая пшеница,24
ROS1-25-0008,41.7_46.8,41.7,46.8,1,0.004531191942303033,0.5165072826138724,неизвестно,25
ROS1-26-0031,41.5_48.2,41.5,48.2,1,0.05738838881388128,0.5449617907311006,неизвестно,26
ROS1-27-0009,41.6_48.2,41.6,48.2,1,0.05074568609941456,0.4842982761543238,неизвестно,27
ROS1-28-0017,41.5_49.1,41.5,49.1,1,0.05823334376439857,0.502560816174031,неизвестно,28
ROS1-30-0001,42.3_46.7,42.3,46.7,0.9944909175754852,0.0713801485229861,0.5330780167635143,неизвестно,30
ROS1-31-0024,42.2_47.3,42.2,47.3,1,0.012175002579945358,0.5222292043758103,неизвестно,31
ROS1-32-0022,42.0_47.7,42,47.7,1,0.013968061110506367,0.5173399624628596,неизвестно,32
ROS1-33-0018,42.3_48.7,42.3,48.7,1,0.030976680661442494,0.5438674862106112,неизвестно,33
ROS1-36-0022,43.2_46.5,43.2,46.5,1,0.02118472554259658,0.5216921821341843,озимая пшеница,36
ROS1-37-0025,42.9_46.8,42.9,46.8,1,0.024563567725031807,0.46660147058563284,озимая пшеница,37
ROS1-38-0002,43.1_47.5,43.1,47.5,1,0.057367270329047954,0.5180090045983923,неизвестно,38
ROS1-42-0008,43.5_46.6,43.5,46.6,1,0.03861241533846681,0.527846196984328,неизвестно,42
ROS1-43-0019,44.0_46.8,44,46.8,1,0.05386427970517858,0.4634175910072323,озимая пшеница,43
ROS1-49-0007,44.2_46.9,44.2,46.9,1,0.02026853605167211,0.4647165535671284,озимая пшеница,49
ROS1-15-0014,40.3_48.9,40.3,48.9,1,0.06800000753976451,0.5321730719497234,неизвестно,15
ROS1-19-0022,40.7_47.2,40.7,47.2,1,0.032070734913481495,0.4734490206658505,неизвестно,19
ROS1-20-0007,40.7_47.9,40.7,47.9,0.9772882528062882,0.0339485549746447,0.5202575476751163,неизвестно,20
ROS1-21-0034,41.1_48.4,41.1,48.4,1,0.02024734311562987,0.475834085499728,неизвестно,21
ROS1-22-0032,41.2_49.7,41.2,49.7,1,0.03577918160807666,0.5217949754412163,неизвестно,22
ROS1-25-0016,42.0_46.9,42,46.9,1,0.06859142111607198,0.5329063180128946,неизвестно,25
ROS1-26-0006,41.3_47.9,41.3,47.9,0.990421876451071,0.078510254058107,0.48950835224064454,зерновые,26
