anon_polygon_id,cell_id,cell_lon,cell_lat,cropland_frac,ndvi_std,peak_ndvi,crop_type,tile
ROS1-01-0007,38.4_47.2,38.4,47.2,1,0.018594616426023985,0.3299833940381055,зерновые,1
ROS1-01-0003,39.0_46.8,39,46.8,1,0.014642580761469152,0.40411118424842035,неизвестно,1
ROS1-07-0012,39.1_47.3,39.1,47.3,1,0.05766629615433273,0.3505187716297959,озимая пшеница,7
ROS1-07-0011,39.1_46.9,39.1,46.9,1,0.009001635779417547,0.46937548753545766,озимая пшеница,7
ROS1-15-0016,40.3_48.7,40.3,48.7,1,0.02878509690752724,0.47857791997233323,неизвестно,15
ROS1-18-0007,40.9_46.3,40.9,46.3,1,0.017975403064687923,0.5308039843907961,неизвестно,18
ROS1-19-0022,40.7_47.2,40.7,47.2,1,0.032070734913481495,0.4734490206658505,неизвестно,19
ROS1-07-0018,39.5_47.0,39.5,47,1,0.046895967542469635,0.6442656203179419,озимая пшеница,7
ROS1-13-0013,39.7_47.0,39.7,47,1,0.07377092678518885,0.6374528833906531,неизвестно,13
ROS1-15-0006,39.9_48.9,39.9,48.9,1,0.036397936340743745,0.6100294160890668,неизвестно,15
ROS1-16-0006,40.4_49.2,40.4,49.2,1,0.02602516456385607,0.6134110014360727,зерновые,16
ROS1-18-0009,41.0_46.6,41,46.6,1,0.018518873582942668,0.6073397086148203,неизвестно,18
ROS1-01-0005,38.3_47.2,38.3,47.2,0.9979934970480021,0.06942747321796744,0.7482551445209887,неизвестно,1
ROS1-07-0002,39.6_47.1,39.6,47.1,1,0.06034002217588523,0.6954895883724004,озимая пшеница,7
ROS1-13-0005,40.2_46.7,40.2,46.7,0.9959022056410526,0.04986039637100902,0.6999331861531103,озимая пшеница,13
ROS1-14-0017,40.1_48.1,40.1,48.1,0.9982334087639751,0.07735166182411979,0.6856892710666603,неизвестно,14
ROS1-15-0004,40.0_48.8,40,48.8,0.9984443061605477,0.06623637210394523,0.720996771701707,неизвестно,15
ROS1-16-0004,40.2_49.6,40.2,49.6,1,0.0796700868278784,0.6585199187663959,неизвестно,16
ROS1-18-0014,40.8_46.7,40.8,46.7,1,0.04862245607390882,0.6558910890007723,неизвестно,18
ROS1-19-0018,41.0_46.8,41,46.8,1,0.056086699590855285,0.675014918560075,зерновые,19
ROS1-01-0004,38.3_47.2,38.3,47.2,1,0.01165261482312824,0.8687571620315111,неизвестно,1
